DB태그,표준역량ID,표준역량명,조직보유수준,전이출처,근거
로그 수집,CAP_SERVING,클라우드 서빙·모델 운영,4,,"30초 내 웹 응답, 무서버 병원 배포 (특허 미확보)"
롤백,CAP_SERVING,클라우드 서빙·모델 운영,4,,"30초 내 웹 응답, 무서버 병원 배포 (특허 미확보)"
모델 버전,CAP_SERVING,클라우드 서빙·모델 운영,4,,"30초 내 웹 응답, 무서버 병원 배포 (특허 미확보)"
모델저장소,CAP_SERVING,클라우드 서빙·모델 운영,4,,"30초 내 웹 응답, 무서버 병원 배포 (특허 미확보)"
오토스케일,CAP_SERVING,클라우드 서빙·모델 운영,4,,"30초 내 웹 응답, 무서버 병원 배포 (특허 미확보)"
온프레미스,CAP_SERVING,클라우드 서빙·모델 운영,4,,"30초 내 웹 응답, 무서버 병원 배포 (특허 미확보)"
온프레미스 서빙,CAP_SERVING,클라우드 서빙·모델 운영,4,,"30초 내 웹 응답, 무서버 병원 배포 (특허 미확보)"
컨테이너 모듈,CAP_SERVING,클라우드 서빙·모델 운영,4,,"30초 내 웹 응답, 무서버 병원 배포 (특허 미확보)"
클라우드 웹서빙,CAP_SERVING,클라우드 서빙·모델 운영,4,,"30초 내 웹 응답, 무서버 병원 배포 (특허 미확보)"
클라우드서빙,CAP_SERVING,클라우드 서빙·모델 운영,4,,"30초 내 웹 응답, 무서버 병원 배포 (특허 미확보)"
임상검증,CAP_CLINICAL,임상 검증·판독 품질관리,3,,윤서진 임상검증 프로토콜 · 노다혜 Ground Truth 품질관리 (특허 미반영)
전문가 검수,CAP_CLINICAL,임상 검증·판독 품질관리,3,,윤서진 임상검증 프로토콜 · 노다혜 Ground Truth 품질관리 (특허 미반영)
품질관리,CAP_CLINICAL,임상 검증·판독 품질관리,3,,윤서진 임상검증 프로토콜 · 노다혜 Ground Truth 품질관리 (특허 미반영)
3D 위치매핑,CAP_GEO,위치기반·모빌리티,3,,"특허 분류 I 7건 — 현 로드맵 미연계 (유휴 역량, 팀장 T map 4년)"
DSM,CAP_GEO,위치기반·모빌리티,3,,"특허 분류 I 7건 — 현 로드맵 미연계 (유휴 역량, 팀장 T map 4년)"
GIS,CAP_GEO,위치기반·모빌리티,3,,"특허 분류 I 7건 — 현 로드맵 미연계 (유휴 역량, 팀장 T map 4년)"
RTK·PPK,CAP_GEO,위치기반·모빌리티,3,,"특허 분류 I 7건 — 현 로드맵 미연계 (유휴 역량, 팀장 T map 4년)"
위치 시각화,CAP_GEO,위치기반·모빌리티,3,,"특허 분류 I 7건 — 현 로드맵 미연계 (유휴 역량, 팀장 T map 4년)"
위치기반·모빌리티,CAP_GEO,위치기반·모빌리티,3,,"특허 분류 I 7건 — 현 로드맵 미연계 (유휴 역량, 팀장 T map 4년)"
좌표계 통합,CAP_GEO,위치기반·모빌리티,3,,"특허 분류 I 7건 — 현 로드맵 미연계 (유휴 역량, 팀장 T map 4년)"
데이터 기반 영양설계,CAP_BIO,바이오마커·오믹스 분석,2,,특허 분류 H 1건 — 마이크로바이옴 개발 단계
마이크로바이옴/오믹스 분석,CAP_BIO,바이오마커·오믹스 분석,2,,특허 분류 H 1건 — 마이크로바이옴 개발 단계
바이오마커 분석,CAP_BIO,바이오마커·오믹스 분석,2,,특허 분류 H 1건 — 마이크로바이옴 개발 단계
바이오마커 분석(병원체 예측),CAP_BIO,바이오마커·오믹스 분석,2,,특허 분류 H 1건 — 마이크로바이옴 개발 단계
바이오마커(대사체) 분석,CAP_BIO,바이오마커·오믹스 분석,2,,특허 분류 H 1건 — 마이크로바이옴 개발 단계
바이오마커(생체신호) 분석,CAP_BIO,바이오마커·오믹스 분석,2,,특허 분류 H 1건 — 마이크로바이옴 개발 단계
바이오마커/유전자 분석,CAP_BIO,바이오마커·오믹스 분석,2,,특허 분류 H 1건 — 마이크로바이옴 개발 단계
환경 바이오마커(가스) 센서 분석,CAP_BIO,바이오마커·오믹스 분석,2,,특허 분류 H 1건 — 마이크로바이옴 개발 단계
실시간 스트리밍,CAP_EDGE,엣지·저지연 추론,2,CAP_SERVING,정민석 저지연 최적화 담당 · 단 조직 실적은 30초급 웹 응답
실시간 알림,CAP_EDGE,엣지·저지연 추론,2,CAP_SERVING,정민석 저지연 최적화 담당 · 단 조직 실적은 30초급 웹 응답
엣지 AI,CAP_EDGE,엣지·저지연 추론,2,CAP_SERVING,정민석 저지연 최적화 담당 · 단 조직 실적은 30초급 웹 응답
엣지 추론,CAP_EDGE,엣지·저지연 추론,2,CAP_SERVING,정민석 저지연 최적화 담당 · 단 조직 실적은 30초급 웹 응답
오프라인 동작,CAP_EDGE,엣지·저지연 추론,2,CAP_SERVING,정민석 저지연 최적화 담당 · 단 조직 실적은 30초급 웹 응답
인라인 추론,CAP_EDGE,엣지·저지연 추론,2,CAP_SERVING,정민석 저지연 최적화 담당 · 단 조직 실적은 30초급 웹 응답
저지연 추론,CAP_EDGE,엣지·저지연 추론,2,CAP_SERVING,정민석 저지연 최적화 담당 · 단 조직 실적은 30초급 웹 응답
LLM·RAG,CAP_LLM,LLM·RAG·자연어,2,,"'25년 착수, A.Pet 초기 개발 (특허 0건)"
NLP,CAP_LLM,LLM·RAG·자연어,2,,"'25년 착수, A.Pet 초기 개발 (특허 0건)"
문서검색,CAP_LLM,LLM·RAG·자연어,2,,"'25년 착수, A.Pet 초기 개발 (특허 0건)"
요약,CAP_LLM,LLM·RAG·자연어,2,,"'25년 착수, A.Pet 초기 개발 (특허 0건)"
주제분류,CAP_LLM,LLM·RAG·자연어,2,,"'25년 착수, A.Pet 초기 개발 (특허 0건)"
웹 시각화,CAP_VIZ,판독 결과 시각화,1,,특허 '유증상 장기 분류·시각화' 1건
3D 재구성,CAP_3D,3D 재구성·포인트클라우드,0,CAP_VISION,관련 특허 없음 — 영상 처리 기법에서 일부 전이 가능
3D 정합,CAP_3D,3D 재구성·포인트클라우드,0,CAP_VISION,관련 특허 없음 — 영상 처리 기법에서 일부 전이 가능
대공간 레이저스캔,CAP_3D,3D 재구성·포인트클라우드,0,CAP_VISION,관련 특허 없음 — 영상 처리 기법에서 일부 전이 가능
디지털트윈,CAP_3D,3D 재구성·포인트클라우드,0,CAP_VISION,관련 특허 없음 — 영상 처리 기법에서 일부 전이 가능
변화탐지,CAP_3D,3D 재구성·포인트클라우드,0,CAP_VISION,관련 특허 없음 — 영상 처리 기법에서 일부 전이 가능
사진측량,CAP_3D,3D 재구성·포인트클라우드,0,CAP_VISION,관련 특허 없음 — 영상 처리 기법에서 일부 전이 가능
영상정합,CAP_3D,3D 재구성·포인트클라우드,0,CAP_VISION,관련 특허 없음 — 영상 처리 기법에서 일부 전이 가능
포인트클라우드,CAP_3D,3D 재구성·포인트클라우드,0,CAP_VISION,관련 특허 없음 — 영상 처리 기법에서 일부 전이 가능
포인트클라우드 정합,CAP_3D,3D 재구성·포인트클라우드,0,CAP_VISION,관련 특허 없음 — 영상 처리 기법에서 일부 전이 가능
농업도메인지식,CAP_DOM_AGRI,농업 현장 도메인 지식,0,CAP_DOM_VET,수의·축산 인접 — 전담 인력 없음
생태 모니터링,CAP_DOM_ENV,환경·생태 도메인 지식,0,,전담 인력 없음
환경 생태 모니터링,CAP_DOM_ENV,환경·생태 도메인 지식,0,,전담 인력 없음
발효미생물 도메인 지식,CAP_DOM_FOOD,식품·발효 도메인 지식,0,,전담 인력 없음
CMMS 연동,CAP_INTEG_IND,산업 설비·시스템 연동,0,,제조 현장 파트너 없음 · 관련 경험 0건
MES 연동,CAP_INTEG_IND,산업 설비·시스템 연동,0,,제조 현장 파트너 없음 · 관련 경험 0건
OTA,CAP_INTEG_IND,산업 설비·시스템 연동,0,,제조 현장 파트너 없음 · 관련 경험 0건
OT·SCADA 연동,CAP_INTEG_IND,산업 설비·시스템 연동,0,,제조 현장 파트너 없음 · 관련 경험 0건
QMS 연동,CAP_INTEG_IND,산업 설비·시스템 연동,0,,제조 현장 파트너 없음 · 관련 경험 0건
경보시스템 연동,CAP_INTEG_IND,산업 설비·시스템 연동,0,,제조 현장 파트너 없음 · 관련 경험 0건
기능안전,CAP_INTEG_IND,산업 설비·시스템 연동,0,,제조 현장 파트너 없음 · 관련 경험 0건
원격관제,CAP_INTEG_IND,산업 설비·시스템 연동,0,,제조 현장 파트너 없음 · 관련 경험 0건
장비연동,CAP_INTEG_IND,산업 설비·시스템 연동,0,,제조 현장 파트너 없음 · 관련 경험 0건
장치 인증,CAP_INTEG_IND,산업 설비·시스템 연동,0,,제조 현장 파트너 없음 · 관련 경험 0건
CAD 비교,CAP_MEASURE_IND,제조 공차·형상 계측,0,CAP_MEASURE,정량계측 특허 3건 보유 — 제조 표준(GD&T) 지식은 미보유
CMM·CT 연동,CAP_MEASURE_IND,제조 공차·형상 계측,0,CAP_MEASURE,정량계측 특허 3건 보유 — 제조 표준(GD&T) 지식은 미보유
GD&T,CAP_MEASURE_IND,제조 공차·형상 계측,0,CAP_MEASURE,정량계측 특허 3건 보유 — 제조 표준(GD&T) 지식은 미보유
배출량 역산,CAP_OPTIMIZE,물리·공정 최적화 모델,0,,열역학·환경 모델링 역량 없음
열역학 모델,CAP_OPTIMIZE,물리·공정 최적화 모델,0,,열역학·환경 모델링 역량 없음
규제 리포팅,CAP_REGULATORY,규제 대응·기록관리,0,,조직개요 명시 — 사업화·인허가는 별도 조직 협업
규제대응,CAP_REGULATORY,규제 대응·기록관리,0,,조직개요 명시 — 사업화·인허가는 별도 조직 협업
기록관리,CAP_REGULATORY,규제 대응·기록관리,0,,조직개요 명시 — 사업화·인허가는 별도 조직 협업
드론 비행관리,CAP_ROBOT,자율주행·비행·드론 운영,0,CAP_GEO,위치기반 유휴 특허 7건에서 일부 전이 가능
드론 운영,CAP_ROBOT,자율주행·비행·드론 운영,0,CAP_GEO,위치기반 유휴 특허 7건에서 일부 전이 가능
자율비행,CAP_ROBOT,자율주행·비행·드론 운영,0,CAP_GEO,위치기반 유휴 특허 7건에서 일부 전이 가능
자율주행,CAP_ROBOT,자율주행·비행·드론 운영,0,CAP_GEO,위치기반 유휴 특허 7건에서 일부 전이 가능
충돌회피,CAP_ROBOT,자율주행·비행·드론 운영,0,CAP_GEO,위치기반 유휴 특허 7건에서 일부 전이 가능
항로최적화,CAP_ROBOT,자율주행·비행·드론 운영,0,CAP_GEO,위치기반 유휴 특허 7건에서 일부 전이 가능
개인정보 비식별화,CAP_SECURITY,보안·프라이버시,0,,관련 특허·역량 없음
보안,CAP_SECURITY,보안·프라이버시,0,,관련 특허·역량 없음
사이버보안,CAP_SECURITY,보안·프라이버시,0,,관련 특허·역량 없음
프라이버시 마스킹,CAP_SECURITY,보안·프라이버시,0,,관련 특허·역량 없음
IoT,CAP_SENSOR,IoT 센서 데이터 처리,0,,팀 역량 카테고리에 없음 · 전담 인력 0명
IoT 센서,CAP_SENSOR,IoT 센서 데이터 처리,0,,팀 역량 카테고리에 없음 · 전담 인력 0명
IoT 센서 데이터 분석 AI,CAP_SENSOR,IoT 센서 데이터 처리,0,,팀 역량 카테고리에 없음 · 전담 인력 0명
제어,CAP_SENSOR,IoT 센서 데이터 처리,0,,팀 역량 카테고리에 없음 · 전담 인력 0명
현장제어,CAP_SENSOR,IoT 센서 데이터 처리,0,,팀 역량 카테고리에 없음 · 전담 인력 0명
레이더·AIS 센서융합,CAP_SENSOR_FUSION,센서 융합,0,CAP_MULTIMODAL,멀티모달 특허 3건 보유 — 물리 센서 융합은 미경험
바람장 결합,CAP_SENSOR_FUSION,센서 융합,0,CAP_MULTIMODAL,멀티모달 특허 3건 보유 — 물리 센서 융합은 미경험
센서융합,CAP_SENSOR_FUSION,센서 융합,0,CAP_MULTIMODAL,멀티모달 특허 3건 보유 — 물리 센서 융합은 미경험
위성·항공 데이터융합,CAP_SENSOR_FUSION,센서 융합,0,CAP_MULTIMODAL,멀티모달 특허 3건 보유 — 물리 센서 융합은 미경험
대기보정,CAP_SPECTRAL,초분광·열화상·위성 영상,0,CAP_VISION,센서 종류가 달라 별도 확보 필요
저조도·열화상,CAP_SPECTRAL,초분광·열화상·위성 영상,0,CAP_VISION,센서 종류가 달라 별도 확보 필요
초분광 영상,CAP_SPECTRAL,초분광·열화상·위성 영상,0,CAP_VISION,센서 종류가 달라 별도 확보 필요
AI 예측모델링,CAP_TIMESERIES,시계열 분석·이상탐지,0,,팀 역량 카테고리에 없음 · 전담 인력 0명
시계열 분석,CAP_TIMESERIES,시계열 분석·이상탐지,0,,팀 역량 카테고리에 없음 · 전담 인력 0명
시계열 예측 AI,CAP_TIMESERIES,시계열 분석·이상탐지,0,,팀 역량 카테고리에 없음 · 전담 인력 0명
시계열 이상탐지,CAP_TIMESERIES,시계열 분석·이상탐지,0,,팀 역량 카테고리에 없음 · 전담 인력 0명
시계열 이상탐지 AI,CAP_TIMESERIES,시계열 분석·이상탐지,0,,팀 역량 카테고리에 없음 · 전담 인력 0명
예지정비,CAP_TIMESERIES,시계열 분석·이상탐지,0,,팀 역량 카테고리에 없음 · 전담 인력 0명
이상탐지,CAP_TIMESERIES,시계열 분석·이상탐지,0,,팀 역량 카테고리에 없음 · 전담 인력 0명
잔여수명,CAP_TIMESERIES,시계열 분석·이상탐지,0,,팀 역량 카테고리에 없음 · 전담 인력 0명
정비계획,CAP_TIMESERIES,시계열 분석·이상탐지,0,,팀 역량 카테고리에 없음 · 전담 인력 0명
다중객체 추적,CAP_TRACK,다중객체 추적,0,CAP_DETECT+CAP_GEO,검출·위치기반 역량에서 전이 가능
추적,CAP_TRACK,다중객체 추적,0,CAP_DETECT+CAP_GEO,검출·위치기반 역량에서 전이 가능
진동분석,CAP_VIBRATION,진동·초음파 설비 진단,0,CAP_AUDIO,음향 특허 5건 보유 — 신호처리 기법은 전이 가능하나 설비 진단 경험 없음
초음파,CAP_VIBRATION,진동·초음파 설비 진단,0,CAP_AUDIO,음향 특허 5건 보유 — 신호처리 기법은 전이 가능하나 설비 진단 경험 없음
X-ray/CT,CAP_XRAY_IND,산업 X-ray·CT 검사,0,CAP_VISION+CAP_DETECT,의료 X-ray 특허 6건 보유 — 장비·물리는 다르나 영상 분석 기법 전이 가능
산업 X-ray/CT,CAP_XRAY_IND,산업 X-ray·CT 검사,0,CAP_VISION+CAP_DETECT,의료 X-ray 특허 6건 보유 — 장비·물리는 다르나 영상 분석 기법 전이 가능
